"Feature","Importance"
"fixed.acidity",9.34234103737877
"volatile.acidity",13.1787626183368
"citric.acid",11.8679362612113
"residual.sugar",4.04027627389992
"chlorides",4.64188050862897
"free.sulfur.dioxide",6.41230513522236
"total.sulfur.dioxide",11.9015597746402
"density",6.86736527313915
"pH",8.32528520256944
"sulphates",5.56242842099366
"alcohol",8.31206170296351
"Id",13.9194379636698
